,shortName,address,city,vipZone,ramp,person,Prime,latitude,longitude
14,ОО «На Предтеченской» Филиала № 7806 Банка ВТБ (ПАО),"Новгородская область, г. Великий Новгород, ул. Большая Санкт-Петербургская, д. 5/1",Великий Новгород,False,True,True,False,58.526959,31.272718
15,ОО «Верещагинский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Верещагино, ул. К. Маркса, д. 17",Верещагино,False,False,True,False,58.076649,54.655451
16,ОО «Приморский» Филиала № 2754 Банка ВТБ (ПАО),"Приморский край, г. Владивосток, пр-т Острякова, д. 8",Владивосток,False,True,True,False,43.130447,131.901376
17,ОО «Тихоокеанский» Филиала № 2754 Банка ВТБ (ПАО),"Приморский край, г. Владивосток, пр-т Океанский, д. 98а",Владивосток,True,True,True,False,43.13292,131.904098
18,ОО «Дальневосточный» Филиала № 2754 Банка ВТБ (ПАО),"Приморский край, г. Владивосток, ул. Мордовцева, д. 8а",Владивосток,False,True,True,True,43.119333,131.884604
19,ОО «На Коцоева» Филиала № 2351 Банка ВТБ (ПАО),"Республика Северная Осетия - Алания, г. Владикавказ, ул. Коцоева, д. 13",Владикавказ,True,True,True,False,43.01848,44.679229
20,ДО «Никитинский» Филиала № 3652 Банка ВТБ (ПАО),"Воронежская область, г. Воронеж, ул. Средне-Московская, д. 1д",Воронеж,False,True,True,True,51.664507,39.20017
21,ДО «Солнечный» Филиала № 3652 Банка ВТБ (ПАО),"Воронежская область, г. Воронеж, ул. 20-летия Октября, д. 90а",Воронеж,True,True,True,False,51.654757,39.189444
22,ОО «Северная столица» Филиала № 6318 Банка ВТБ (ПАО),"Удмуртская Республика, г. Глазов, ул. Парковая, д. 45а",Глазов,False,False,True,False,58.141656,52.653223
23,ОО «Грязинский» Филиала № 3652 Банка ВТБ (ПАО),"Липецкая область, г. Грязи, ул. Правды, д. 17",Грязи,False,False,True,False,52.490061,39.955986
24,ОО «Губахинский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Губаха, пр-т Ленина, д. 27",Губаха,False,False,True,False,58.840152,57.551889
25,ДО «На Каширском» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Домодедово, микрорайон Центральный, Каширское шоссе, д. 29",Домодедово,True,True,True,False,55.438741,37.767537
26,ОО «Казанский» Филиала № 6318 Банка ВТБ (ПАО),"Республика Татарстан, г. Казань, ул. Петербургская, д. 80",Казань,False,True,True,True,55.777667,49.140298
27,РОО «Кировский»,"Кировская область, г. Киров, ул. Воровского, д. 92, корп. 2",Киров,False,True,True,False,58.596384,49.614851
28,ОО «Октябрьский проспект» Филиала № 6318 Банка ВТБ (ПАО),"Кировская область, г. Киров, пр-т Октябрьский, д. 50",Киров,False,False,True,False,58.61081,49.657593
29,ОО «Северный» в г. Кирове Филиала № 6318 Банка ВТБ (ПАО),"Кировская область, г. Киров, пр-т Октябрьский, д. 11",Киров,False,True,True,False,58.637195,49.620223
30,ДО «Проспект Космонавтов» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Королев, пр-т Космонавтов, д. 29/12, корп. 1, пом. I",Королев,True,True,True,False,55.912254,37.86831
31,ОО «На Ленинском проспекте» Филиала № 7806 Банка ВТБ (ПАО),"Калининградская область, г. Калининград, Ленинский пр-т, д. 28",Калининград,True,True,True,False,54.712035,20.507514
32,ДО «Каменск-Уральский» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Каменск-Уральский, ул. Ленина, д. 36А",Каменск-Уральский,False,True,True,False,56.415903,61.912303
33,ОО «На Палантая» Филиала № 6318 Банка ВТБ (ПАО),"Республика Марий Эл, г. Йошкар-Ола, ул. Палантая, д. 112",Йошкар-Ола,True,True,True,False,56.632664,47.88767
34,ОО «Премиальный» Филиала № 6602 Банка ВТБ (ПАО),"Ханты-Мансийский автономный округ-Югра, г. Нижневартовск, ул. Ленина, д. 38а",Нижневартовск,False,True,True,False,60.935407,76.584998
35,ДО «Нововоронежский» Филиала № 3652 Банка ВТБ (ПАО),"Воронежская область, г. Нововоронеж, ул. Курчатова, д. 14",Нововоронеж,False,False,True,False,51.311578,39.212127
36,РОО «Костромской»,"Костромская область, г. Кострома, пл. Мира д. 2",Кострома,True,True,True,False,57.771835,40.940665
37,ОО «Котласский» Филиала № 7806 Банка ВТБ (ПАО),"Архангельская область, г. Котлас, пр-т Мира, д. 33",Котлас,False,False,True,False,61.243579,46.642802
38,ДО «Дом правительства Московской области» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Красногорск, бульвар Строителей, д. 1",Красногорск,False,False,True,False,55.816085,37.380812
39,ДО «Красноуфимский» в г. Красноуфимске Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Красноуфимск, ул. Сухобского, д. 20",Красноуфимск,False,False,True,False,56.598899,57.767961
40,ОО «Кунгурский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Кунгур, ул. Ленина, д. 42",Кунгур,False,False,True,False,57.43335,56.938502
41,ДО «Кушвинский» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Кушва, ул. Станционная, д. 90",Кушва,False,False,True,False,58.267105,59.712598
42,ДО «Лобня» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Лобня, ул. Ленина, д. 9",Лобня,True,False,True,False,56.012385,37.482061
43,ДО «На Октябрьском» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Люберцы, Октябрьский пр-т, д. 380д",Люберцы,False,True,True,False,55.660673,37.913379
44,РОО «Магаданский»,"Магаданская область, г. Магадан, пр-т Карла Маркса, д. 33/15",Магадан,True,True,True,False,59.564577,150.804921
45,ОО «Колымский» Филиала № 2754 Банка ВТБ (ПАО),"Магаданская область, г. Магадан, пр-т Ленина, д. 30Б",Магадан,True,False,True,False,59.56196,150.797734
46,ОО «Мончегорский» Филиала № 7806 Банка ВТБ (ПАО),"Мурманская область, г. Мончегорск, пр-т Металлургов, д. 35",Мончегорск,True,True,True,False,67.93859,32.927926
47,ОО «На Советской» Филиала № 3652 Банка ВТБ (ПАО),"Владимирская область, г. Муром, ул. Советская, д. 75",Муром,True,True,True,False,55.574294,42.036619
48,ОО «Нальчикский» Филиала № 2351 Банка ВТБ (ПАО),"Кабардино-Балкарская Республика, г. Нальчик, ул. Кешокова, д. 57",Нальчик,True,True,True,False,43.48049,43.603406
49,ОО «Заводской» Филиала № 2351 Банка ВТБ (ПАО),"Ростовская область, г. Новочеркасск, ул. Машиностроителей, д. 7а",Новочеркасск,False,False,True,False,47.472551,40.065401
50,ДО «Одинцово» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Одинцово, ул. Можайское ш., д. 153а",Одинцово,True,True,True,False,55.686107,37.303126
51,ОО «Уральский» Филиала № 6318 Банка ВТБ (ПАО),"Оренбургская область, г. Оренбург, ул. Чкалова, д. 26/1",Оренбург,False,True,True,False,51.769481,55.129995
52,ДО «Центральный бульвар» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Орехово-Зуево, Центральный бульвар, д. 7",Орехово-Зуево,False,False,True,False,55.80271,38.977029
53,ОО «Терновский» Филиала № 6318 Банка ВТБ (ПАО),"Пензенская область, г. Пенза, ул. Терновского, д. 255",Пенза,False,False,True,False,53.132773,45.021119
54,ОО «Полет» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Пермь, пр-т Комсомольский, д. 98",Пермь,False,False,True,False,57.983348,56.254893
55,ОО «Камский мост» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Пермь, ул. Ленина, д. 66",Пермь,True,True,True,False,58.008943,56.229129
56,ОО «Камский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Пермь, ул. Краснова, д. 14/Сибирская, д. 37",Пермь,False,True,True,True,58.007551,56.25156
57,ОО «Театральный» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Пермь, ул. Ленина, д. 59",Пермь,False,True,True,False,58.149474,56.474153
58,ДО «ЗИО Подольск» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Подольск, ул. Железнодорожная, д. 2",Подольск,False,False,True,False,55.419248,37.570042
59,РОО «Орловский»,"Орловская область, г. Орел, пер. Воскресенский, д. 18",Орел,True,True,True,False,52.962138,36.069398
60,ОО «Советский» Филиала № 3652 Банка ВТБ (ПАО),"Орловская область, г. Орел, ул. Максима Горького, д. 47",Орел,True,True,True,False,52.978087,36.072838
